Country,Year,Type,Value_Actual,Value_Fitted,Value_Base,Value_Optimistic,Value_Conservative
South Korea,2034,Forecast,,,21.149639565328133,25.231290372475083,19.338099144701086
South Korea,2035,Forecast,,,22.278920387819632,27.104774497813032,20.168979878481537
UAE,2016,Historical,0.0,0.03478228844698829,,,
UAE,2017,Historical,0.03869868713966322,0.07615929995576934,,,
UAE,2018,Historical,0.14738517280822622,0.1660016404881117,,,
UAE,2019,Historical,0.3417040127003072,0.35829718316177855,,,
UAE,2020,Historical,0.6904027833864111,0.7575264064364297,,,
UAE,2021,Historical,1.5041687000185335,1.536341652715603,,,
UAE,2022,Historical,2.98007336024647,2.8864488004953293,,,
UAE,2023,Historical,4.841582165988939,4.809184425230909,,,
UAE,2024,Historical,6.791586831636402,6.9003923038973705,,,
UAE,2025,Historical,8.653095637378872,8.602163541461284,,,
UAE,2026,Forecast,,,9.793613455367746,9.987399649856075,9.696720358123581
UAE,2027,Forecast,,,10.5029308726462,10.922685946433262,10.296137457554229
UAE,2028,Forecast,,,10.919045526217188,11.580120707177834,10.598158591392224
UAE,2029,Forecast,,,11.181810679751543,12.09344445851655,10.745825518966798
UAE,2030,Forecast,,,11.37024843260287,12.540570764242585,10.81881055289877
UAE,2031,Forecast,,,11.52422316564811,12.961894400125347,10.856832419179906
UAE,2032,Forecast,,,11.66285781092868,13.377386347753554,10.878734252916646
UAE,2033,Forecast,,,11.795122555892052,13.796795167921642,10.893257182026252
UAE,2034,Forecast,,,11.925185971868675,14.224938233891551,10.90441502142828
UAE,2035,Forecast,,,12.054980448338041,14.664295685335617,10.914042348601216
UK,2016,Historical,0.5387480856856551,0.5361880947931168,,,
UK,2017,Historical,0.6735854410459745,0.7281935551617182,,,
UK,2018,Historical,0.9628121785459456,0.9826060170289073,,,
UK,2019,Historical,1.3275141567714268,1.314720211577753,,,
UK,2020,Historical,1.781777669718113,1.7399288207500372,,,
UK,2021,Historical,2.3033178242148526,2.2709930716227764,,,
UK,2022,Historical,2.9116719756852163,2.9140988534197563,,,
UK,2023,Historical,3.6404784449042307,3.6643922178499357,,,
UK,2024,Historical,4.4701998764483255,4.502602496168428,,,
UK,2025,Historical,5.419965941626936,5.394868734695282,,,
UK,2026,Forecast,,,6.365715914486308,6.4916586962276845,6.30274452361562
UK,2027,Forecast,,,7.320244752510473,7.612765499994864,7.176133391169955
UK,2028,Forecast,,,8.21726543069894,8.71470300371073,7.975807563114403
UK,2029,Forecast,,,9.027680511199044,9.763597815361479,8.675729103082137
UK,2030,Forecast,,,9.737003400908346,10.73908914168956,9.264832540383486
UK,2031,Forecast,,,10.343778190412378,11.634018493616766,9.744821800787907
UK,2032,Forecast,,,10.85572609791753,12.451390479467268,10.125955866965823
