Rank,Country,Score
1,China,213.43356756484454
2,USA,194.95131663018844
3,India,40.73765876032942
4,France,26.88972510533684
5,Japan,23.298026327095688
6,South Korea,22.278920387819632
7,UAE,12.054980448338041
8,UK,11.955625933081885
9,Germany,11.120203769451107
10,Canada,3.592272765975205
