Country,Score_Efficiency,Rank
UAE,100.00000000000009,1
Japan,100.00000000000003,2
USA,100.0,3
India,100.0,4
China,100.0,5
Canada,100.0,6
South Korea,100.0,7
UK,99.99999999999997,8
France,99.99999999999997,9
Germany,99.99999999999946,10
