Country,Year,Score,Rank
USA,2035,1470.4496092374814,1
China,2035,1157.7687308979805,2
India,2035,234.5321740434258,3
South Korea,2035,175.1230130178958,4
Japan,2035,146.2783033864552,5
UK,2035,77.29118918666455,6
Germany,2035,73.14590011455334,7
France,2035,53.39474150258869,8
Canada,2035,32.17185293944523,9
UAE,2035,16.04839331121049,10
