Dimension,Allocation_Billions,Percentage
Compute,32.70099665978081,23.3578547569863
Talent,42.87633723829099,30.62595517020786
Data,32.71292777917782,23.36637698512702
Algorithm,31.709738322750365,22.649813087678837
