Country,Year,Score,Rank
China,2035,213.43356756484454,1
USA,2035,194.95131663018844,2
India,2035,40.73765876032942,3
France,2035,26.88972510533684,4
Japan,2035,23.298026327095688,5
South Korea,2035,22.278920387819632,6
UAE,2035,12.054980448338041,7
UK,2035,11.955625933081885,8
Germany,2035,11.120203769451107,9
Canada,2035,3.592272765975205,10
