Country,Year,Score,Score_Cons,Score_Opt,Lower_Bound,Upper_Bound,Uncertainty_Range
China,2026,80.82390461237503,80.05976125168004,82.35219133376503,80.05976125168004,82.35219133376503,2.2924300820849908
China,2027,97.25607802703286,95.42577122045654,100.96885169459878,95.42577122045654,100.96885169459878,5.5430804741422435
China,2028,113.59873617869275,110.40707120471644,120.16541681883402,110.40707120471644,120.16541681883402,9.758345614117573
China,2029,129.41736451537085,124.59207086836234,139.48704742616926,124.59207086836234,139.48704742616926,14.894976557806913
China,2030,144.53142200893248,137.82709155464985,158.72266182221713,137.82709155464985,158.72266182221713,20.89557026756728
China,2031,158.96445716933454,150.15742450493158,177.87381767426328,150.15742450493158,177.87381767426328,27.716393169331695
China,2032,172.86513731209212,161.7441783257096,197.08553153487094,161.7441783257096,197.08553153487094,35.341353209161326
China,2033,186.4374629921376,172.7940923217018,216.57875082956005,172.7940923217018,216.57875082956005,43.78465850785824
China,2034,199.89441123478807,183.51468432737497,236.60212699703848,183.51468432737497,236.60212699703848,53.08744266966352
China,2035,213.43356756484454,194.09187518264488,257.4044488150384,194.09187518264488,257.4044488150384,63.31257363239351
India,2026,7.874731136239008,7.79949245854428,8.025208491628467,7.79949245854428,8.025208491628467,0.2257160330841872
India,2027,10.712710516660463,10.508980466609104,11.12603822971888,10.508980466609104,11.12603822971888,0.6170577631097753
India,2028,14.111864087971592,13.711223440054972,14.93640747097494,13.711223440054972,14.93640747097494,1.2251840309199675
India,2029,17.951993970484487,17.27567894962768,19.363998961581675,17.27567894962768,19.363998961581675,2.0883200119539964
India,2030,22.04434982380463,21.011174653449206,24.232612659055153,21.011174653449206,24.232612659055153,3.221438005605947
India,2031,26.18129528942342,24.715805859739618,29.33017568821871,24.715805859739618,29.33017568821871,4.6143698284790915
India,2032,30.190545816718245,28.22833213371823,34.46792104355784,28.22833213371823,34.46792104355784,6.239588909839608
India,2033,33.967479397600535,31.456339422006202,39.52100997271614,31.456339422006202,39.52100997271614,8.064670550709941
India,2034,37.477377992572656,34.37515525802491,44.43799974939065,34.37515525802491,44.43799974939065,10.062844491365738
India,2035,40.73765876032942,37.00855625081013,49.22684002721476,37.00855625081013,49.22684002721476,12.218283776404633
USA,2026,76.35640020860038,75.61507593473047,77.83904875634019,75.61507593473047,77.83904875634019,2.2239728216097205
USA,2027,93.0585741960171,91.2603832534039,96.70758606005171,91.2603832534039,96.70758606005171,5.447202806647809
USA,2028,109.84577553901784,106.67734554761624,116.36961099007853,106.67734554761624,116.36961099007853,9.692265442462286
USA,2029,125.92567722753712,121.10611804172888,135.99489079570515,121.10611804172888,135.99489079570515,14.88877275397627
USA,2030,140.7627911336644,134.0610464262929,154.9702171321424,134.0610464262929,154.9702171321424,20.909170705849505
USA,2031,154.1230795883741,145.3601493654897,172.9737195569004,145.3601493654897,172.9737195569004,27.6135701914107
USA,2032,166.02189752589243,155.06222187919147,189.94588692896045,155.06222187919147,189.94588692896045,34.88366504976898
USA,2033,176.63088488540245,163.3692145807701,206.00759857649754,163.3692145807701,206.00759857649754,42.63838399572745
USA,2034,186.19082198727136,170.53942436924584,221.37416624197567,170.53942436924584,221.37416624197567,50.834741872729836
USA,2035,194.95131663018844,176.8298763192466,236.2908563530416,176.8298763192466,236.2908563530416,59.46098003379498
