Country,Score_Strength,Rank
USA,100.0,1
India,76.3424491821114,2
China,45.653664411587854,3
UK,8.608965289188225,4
Germany,6.978520318131615,5
Japan,6.65139491108573,6
France,4.0446302252327415,7
Canada,3.6982851722940606,8
South Korea,2.9021929453969397,9
UAE,0.0,10
