Country,Score_Strength,Score_Efficiency,Final_Score
USA,100.0,100.00000000000003,100.00000000000001
China,88.53018750726562,100.00000000000003,93.11811250435939
UK,4.4507803220621,80.71646672358654,34.957054882671876
Germany,2.6802746624366134,81.15806296398131,34.071389983054495
South Korea,0.4103821918354387,100.0,40.24622931510126
Japan,1.412950508792595,78.773714599945,32.35725614525356
France,2.2372871056935026,69.40335441297772,29.103714028607193
Canada,0.0,50.000000000000014,20.000000000000007
UAE,3.824128817187084,100.00000000000003,42.294477290312265
India,8.166888039735836,20.286727593340334,13.014823861177636
