Total_Budget,Max_CNP_Score,Marginal_Gain
50,104.12275382010841,
100,122.12184336688556,17.999089546777142
150,131.79236706126383,9.670523694378275
200,135.60839869829138,3.8160316370275496
250,136.84791487061557,1.239516172324187
300,137.22261858535654,0.3747037147409742
